id	samples	sequence
nextclade_data	SRR11140748	https://github.com/Joon-Klaps/nextclade_data/raw/old_datasets/data/nextstrain/sars-cov-2/MN908947/sequences.fasta
BA2	SRR11140744	https://github.com/Joon-Klaps/nextclade_data/raw/master/data_output/nextstrain/sars-cov-2/BA.2/unreleased/sequences.fasta
